Olmo 7B Accuracy,Camembert Large[0] Accuracy,Camembert Large Accuracy,Flaubert Large Accuracy,Flaubert Large[0] Accuracy,Flaubert Base Accuracy,Mistral7B Accuracy,doc_name,date,auteur,titre,canon,gender,naissance,mort,genre,droit_auteur
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1987_Daeninckx-Didier_Lumiere-noire,1987,daeninckx didier,lumiere noire,canon,male,1949,20--,policier,prive
0.0,0.0,0.01,0.0,0.0,0.0,0.02,1880_Debans-Camille_Les-Drames-a-toute-vapeur,1880,debans camille,les drames a toute vapeur,non_canon,male,1834,1910,nouvelles,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1995_Echenoz-Jean_Les-Grandes-Blondes,1995,echenoz jean,les grandes blondes,canon,male,1947,20--,policier,prive
0.0,0.02,0.18,0.01,0.0,0.0,0.0,1854_Barbey-d-Aurevilly-Jules_L-ensorcelee,1854,barbey d aurevilly jules,l ensorcelee,canon,male,1808,1889,roman historique,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1912_Pergaud-Louis_La-Guerre-des-boutons,1912,pergaud louis,la guerre des boutons,non_canon,male,1882,1915,littérature jeunesse,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1869_Gaboriau-Emile_Monsieur-Lecoq_I,1869,gaboriau emile,monsieur lecoq,non_canon,male,1832,1873,policier,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1989_Echenoz-Jean_Lac,1989,echenoz jean,lac,canon,male,1947,20--,policier,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1886_Loti-Pierre_Pecheur-d-Islande,1886,loti pierre,pecheur d islande,canon,male,1850,1923,roman d'aventures,publique
0.0,0.0,0.14,0.0,0.0,0.0,0.0,2003_Grange-Jean-Christophe_L-empire-des-loups,2003,grange jean christophe,l empire des loups,non_canon,male,1961,20--,policier,prive
0.0,0.02,0.05,0.0,0.0,0.0,0.0,1861_Veilles-comtesse-de_Sagesse-et-bonte-livre-des-jeunes-personnes,1861,veilles comtesse de,sagesse et bonte livre des jeunes personnes,non_canon,female,1???,1???,littérature jeunesse,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1862_Segur-comtesse-de_La-soeur-de-Gribouille,1862,segur comtesse de,la soeur de gribouille,non_canon,female,1799,1874,littérature jeunesse,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1850_Sue-Eugene_Les-Mysteres-du-peuple_Tome-V,1850,sue eugene,les mysteres du peuple,canon,male,1804,1857,roman historique,publique
0.0,0.0,0.0,0.01,0.0,0.0,0.0,1863_Verne-Jules_Cinq-Semaines-en-ballon,1863,verne jules,cinq semaines en ballon,canon,male,1828,1905,roman d'aventures,publique
0.0,0.0,0.04,0.0,0.0,0.0,0.0,1988_Orsenna-Erik_L-exposition-coloniale,1988,orsenna erik,l exposition coloniale,non_canon,male,1947,20--,roman historique,prive
0.0,0.0,0.02,0.0,0.0,0.0,0.02,1931_Simenon-Georges_La-danseuse-du-Gai-Moulin,1931,simenon georges,la danseuse du gai moulin,canon,male,1903,1989,policier,prive
0.0,0.0,0.03,0.0,0.0,0.0,0.0,1900_Colette_Claudine-a-l-ecole,1900,colette,claudine a l ecole,canon,female,1873,1954,cycles et séries,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012_Grange-Jean-Christophe_Kaiken,2012,grange jean christophe,kaiken,non_canon,male,1961,20--,policier,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.01,1878_Bouvier-Alexis_La-Grande-Iza,1878,bouvier alexis,la grande iza,non_canon,male,1836,1892,roman d'aventures,publique
0.0,0.0,0.14,0.0,0.0,0.0,0.02,1845_Dumas-Alexandre_Histoire-d-un-Casse-noisette,1845,dumas alexandre,histoire d un casse noisette,canon,male,1802,1870,littérature jeunesse,publique
0.0,0.0,0.06,0.0,0.0,0.0,0.0,1900_Chabrier-Rieder-Charlotte_Les-epreuves-de-Charlotte,1900,chabrier rieder charlotte,les epreuves de charlotte,non_canon,female,1865,1935,littérature jeunesse,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.01,1878_Lemoine_La-Guerre-pendant-les-vacances-recit-d-un-vieux-soldat,1878,lemoine,la guerre pendant les vacances recit d un vieux soldat,non_canon,,1???,1???,littérature jeunesse,prive
0.0,0.02,0.03,0.01,0.0,0.0,0.01,1861_Rocca-Maria-della_Le-Roman-d-une-femme-laide,1861,rocca maria della,le roman d une femme laide,non_canon,female,????,????,nouvelles,prive
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1893_Marie-Delorme_Les-Filles-du-clown,1893,marie delorme,les filles du clown,non_canon,female,1836,1906,littérature jeunesse,publique
0.0,0.01,0.01,0.01,0.0,0.0,0.01,1855_Balzac-Honore-de_Les-Petits-Bourgeois,1855,balzac honore de,les petits bourgeois,canon,male,1799,1850,cycles et séries,publique
0.0,0.0,0.03,0.01,0.0,0.0,0.0,1936_Montherlant-Henry-de_Les-jeunes-filles,1936,montherlant henry de,les jeunes filles,canon,male,1895,1972,cycles et séries,prive
0.0,0.0,0.02,0.01,0.0,0.0,0.01,1895_Allais-Alphonse_Deux-et-deux-font-cinq,1895,allais alphonse,deux et deux font cinq,non_canon,male,1854,1905,nouvelles,publique
0.0,0.0,0.02,0.0,0.0,0.0,0.0,1883_Pont-Jest-Rene-de_La-Femme-de-cire,1883,pont jest rene de,la femme de cire,non_canon,male,1829,1904,policier,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1843_Balzac-Honore-de_Ursule-Mirouet,1843,balzac honore de,ursule mirouet,canon,male,1799,1850,cycles et séries,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1926_Galopin-Arnould_La-tenebreuse-affaire-de-Green-Park,1926,galopin arnould,la tenebreuse affaire de green park,non_canon,male,1863,1934,policier,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1889_Mary-Jules_La-Revanche-de-Roger-la-honte_Tome-II,1889,mary jules,la revanche de roger la honte,non_canon,male,1851,1922,policier,publique
0.0,0.02,0.05,0.0,0.0,0.0,0.01,1936_Aragon-Louis_Les-Beaux-Quartiers,1936,aragon louis,les beaux quartiers,canon,male,1897,1942,cycles et séries,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999_Vargas-Fred_L-homme-a-l-envers,1999,vargas fred,l homme a l envers,non_canon,female,1957,20--,policier,prive
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1957_Nemirovsky-Irene_Les-Feux-de-l-automne,1957,nemirovsky irene,les feux de l automne,non_canon,female,1903,1942,roman historique,publique
0.0,0.02,0.11,0.05,0.02,0.0,0.02,1873_Sannois-Comtesse-de_Les-Soirees-a-la-maison,1873,sannois comtesse de,les soirees a la maison,non_canon,female,1???,1???,littérature jeunesse,prive
0.0,0.0,0.01,0.0,0.0,0.0,0.02,1883_Guy-de-Maupassant_Contes-de-la-Becasse,1883,guy de maupassant,contes de la becasse,canon,male,1850,1893,nouvelles,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1876_Montepin-Xavier-de_Le-Ventriloque-Le-mari-et-l-amant,1876,montepin xavier de,le ventriloque le mari et l amant,non_canon,male,1823,1902,cycles et séries,publique
0.0,0.04,0.07,0.03,0.01,0.0,0.07,1879_Navery-Raoul-de_La-Fille-du-roi-Dagobert,1879,navery raoul de,la fille du roi dagobert,non_canon,female,1829,1885,nouvelles,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1978_Yourcenar-Marguerite_Nouvelles-Orientales,1978,yourcenar marguerite,nouvelles orientales,canon,female,1903,1987,nouvelles,prive
0.0,0.0,0.05,0.02,0.01,0.01,0.0,1877_Rosary-Eugene_Le-Journal-d-une-jeune-fille,1877,rosary eugene,le journal d une jeune fille,non_canon,male,unknown,unknown,roman historique,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1848_Balzac-Honore-de_Les-Parents-pauvres-Le-Cousin-Pons,1848,balzac honore de,les parents pauvres le cousin pons,canon,male,1799,1850,cycles et séries,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928_Leroux-Gaston_Les-Mohicans-de-Babel,1928,leroux gaston,les mohicans de babel,non_canon,male,1868,1927,policier,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1878_Dupuis-Eudoxie_Cyprienne-et-Cyprien,1878,dupuis eudoxie,cyprienne et cyprien,non_canon,female,1835,1906,littérature jeunesse,publique
0.0,0.01,0.03,0.01,0.01,0.0,0.0,1865_Aimard-Gustave_Les-bohemes-de-la-mer,1865,aimard gustave,les bohemes de la mer,non_canon,male,1818,1883,roman d'aventures,publique
0.0,0.03,0.03,0.01,0.0,0.0,0.01,1923_Larbaud-Valery_Amants-heureux-amants,1923,larbaud valery,amants heureux amants,canon,male,1881,1957,nouvelles,prive
0.0,0.02,0.03,0.0,0.0,0.0,0.0,2001_Robbe-Grillet-Alain_La-reprise,2001,robbe grillet alain,la reprise,canon,male,1922,2008,roman historique,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1882_Zaccone-Pierre_La-Recluse,1882,zaccone pierre,la recluse,non_canon,male,1818,1895,roman d'aventures,publique
0.0,0.0,0.06,0.0,0.0,0.0,0.0,1872_Witt-Henriette-de_Scenes-historiques,1872,witt henriette de,scenes historiques,non_canon,female,1829,1908,roman historique,publique
0.0,0.02,0.02,0.0,0.0,0.0,0.0,1977_A-D-G._Juste-un-rigolo,1977,a d g.,juste un rigolo,non_canon,male,1947,2004,policier,prive
0.0,0.0,0.01,0.0,0.0,0.0,0.01,1842_Balzac-Honore-de_Beatrix,1842,balzac honore de,beatrix,canon,male,1799,1850,cycles et séries,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1951_Simenon-Georges_Maigret-en-meuble,1951,simenon georges,maigret en meuble,canon,male,1903,1989,policier,prive
0.0,0.0,0.04,0.01,0.01,0.0,0.0,1859_Feval-Paul_La-Maison-de-Pilate,1859,feval paul,la maison de pilate,non_canon,male,1816,1887,roman d'aventures,publique
0.0,0.01,0.01,0.0,0.0,0.0,0.0,1895_Arene-Paul_Le-Midi-bouge,1895,arene paul,le midi bouge,non_canon,male,1843,1896,nouvelles,publique
0.0,0.0,0.03,0.0,0.0,0.0,0.0,1899_Mirbeau-Octave_Le-Jardin-des-supplices,1899,mirbeau octave,le jardin des supplices,canon,male,1848,1917,roman historique,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.02,1901_Colette_Claudine-a-Paris,1901,colette,claudine a paris,canon,female,1873,1954,cycles et séries,prive
0.0,0.0,0.04,0.0,0.0,0.0,0.0,1933_Duhamel-Georges_Le-notaire-du-Havre,1933,duhamel georges,le notaire du havre,canon,male,1884,1966,cycles et séries,prive
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1907_Mael-Pierre_Le-Forban-noir,1907,mael pierre,le forban noir,non_canon,male,1895,1895,littérature jeunesse,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1931_Simenon-Georges_La-Guinguette-a-deux-sous,1931,simenon georges,la guinguette a deux sous,canon,male,1903,1989,policier,prive
0.0,0.01,0.02,0.0,0.0,0.0,0.01,1972_Gary-Romain_Europa,1972,gary romain,europa,canon,male,1914,1980,roman d'aventures,prive
0.0,0.01,0.02,0.02,0.0,0.0,0.0,1891_Allais-Alphonse_a-se-tordre,1891,allais alphonse,a se tordre,non_canon,male,1854,1905,nouvelles,publique
0.0,0.0,0.03,0.0,0.0,0.0,0.01,1860_Dumas-Alexandre_L-Horoscope,1860,dumas alexandre,l horoscope,canon,male,1802,1870,roman d'aventures,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1912_Rolland-Romain_Jean-Christophe_Tome-X-La-nouvelle-journee,1912,rolland romain,jean christophe,canon,male,1866,1915,cycles et séries,publique
0.0,0.01,0.01,0.0,0.0,0.0,0.01,1876_Montepin-Xavier-de_Le-Ventriloque-La-femme-du-Prussien,1876,montepin xavier de,le ventriloque la femme du prussien,non_canon,male,1823,1902,cycles et séries,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1859_Saintine-X-B._Metamorphoses-de-la-femme,1859,saintine x b.,metamorphoses de la femme,non_canon,male,1789,1865,nouvelles,publique
0.0,0.0,0.04,0.0,0.0,0.0,0.01,1878_Chevalier-H-Emile_Le-gibet,1878,chevalier h emile,le gibet,non_canon,male,1828,1879,roman d'aventures,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1861_Segur-comtesse-de_Pauvre-Blaise,1861,segur comtesse de,pauvre blaise,non_canon,female,1799,1874,littérature jeunesse,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1925_Istrati-Panait_Les-recits-d-Adrien-Zograffi_III,1925,istrati panait,les recits d adrien zograffi,non_canon,male,1884,1935,roman d'aventures,publique
0.0,0.0,0.01,0.02,0.01,0.0,0.01,1855_Dumas-Alexandre_Le-page-du-duc-de-Savoie_II,1855,dumas alexandre,le page du duc de savoie,canon,male,1802,1870,roman d'aventures,publique
0.0,0.03,0.12,0.02,0.01,0.0,0.0,1878_Zola-Emile_Une-page-d-amour,1878,zola emile,une page d amour,canon,male,1840,1902,cycles et séries,publique
0.0,0.01,0.01,0.0,0.0,0.0,0.0,1960_Delly_Le-feu-sous-la-glace,1960,delly,le feu sous la glace,non_canon,female,1875,1947,roman d'aventures,publique
0.0,0.0,0.03,0.0,0.0,0.0,0.0,1853_Sand-George_Les-maitres-sonneurs,1853,sand george,les maitres sonneurs,canon,female,1804,1876,roman historique,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1862_Chevalier-H-Emile_Les-Nez-Perces,1862,chevalier h emile,les nez perces,non_canon,male,1828,1879,roman d'aventures,publique
0.0,0.02,0.04,0.0,0.0,0.01,0.0,1878_Calonne-Alphonse-de_La-Ferme-des-moines,1878,calonne alphonse de,la ferme des moines,non_canon,male,1818,1902,nouvelles,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1955_Dhotel-Andre_Le-pays-ou-l-on-n-arrive-jamais,1955,dhotel andre,le pays ou l on n arrive jamais,canon,male,1900,1991,littérature jeunesse,prive
0.0,0.0,0.04,0.0,0.0,0.0,0.0,1874_Feval-Paul_Le-dernier-vivant,1874,feval paul,le dernier vivant,non_canon,male,1816,1887,policier,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.01,1883_Zola-Emile_Au-bonheur-des-dames,1883,zola emile,au bonheur des dames,canon,male,1840,1902,cycles et séries,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1874_Stolz-Madame-de_Les-Poches-de-mon-oncle,1874,stolz madame de,les poches de mon oncle,non_canon,female,1820,1898,littérature jeunesse,publique
0.0,0.01,0.02,0.0,0.0,0.0,0.0,1921_Proust-Marcel_Le-Cote-de-Guermantes,1921,proust marcel,le cote de guermantes,canon,male,1871,1922,cycles et séries,publique
0.0,0.0,0.04,0.01,0.0,0.0,0.0,1932_Simenon-Georges_Chez-les-Flamands,1932,simenon georges,chez les flamands,canon,male,1903,1989,policier,prive
0.0,0.01,0.06,0.0,0.0,0.0,0.01,1845_Balzac-Honore-de_La-Recherche-de-l-Absolu,1845,balzac honore de,la recherche de l absolu,canon,male,1799,1850,cycles et séries,publique
0.0,0.09,0.49,0.02,0.0,0.0,0.16,1891_Witt-Henriette-de_La-Petite-fille-aux-grand-meres,1891,witt henriette de,la petite fille aux grand meres,non_canon,female,1829,1908,littérature jeunesse,publique
0.0,0.01,0.02,0.0,0.0,0.0,0.0,1875_Mirabeau-Marie-Le-Harivel-de-Gonneville_Ctesse-de-Mirabeau-Jane-et-Germaine-Voyages-d-un-capitaine,1875,mirabeau marie le harivel de gonneville,ctesse de mirabeau jane et germaine voyages d un capitaine,non_canon,female,1827,1916,littérature jeunesse,publique
0.0,0.01,0.03,0.0,0.0,0.0,0.02,1921_Proust-Marcel_Sodome-et-Gomorrhe,1921,proust marcel,sodome et gomorrhe,canon,male,1871,1922,cycles et séries,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1849_Berthoud-Henry_Les-Filleules-de-Rubens_Tome-I,1849,berthoud henry,les filleules de rubens,non_canon,male,1804,1891,roman historique,publique
0.0,0.02,0.08,0.0,0.0,0.0,0.02,1859_Inconnu_Les-soirees-du-pere-Laurent,1859,inconnu,les soirees du pere laurent,non_canon,,1???,1???,nouvelles,prive
0.0,0.0,0.04,0.0,0.0,0.0,0.0,1960_Pagnol-Marcel_Le-Temps-des-Secrets,1960,pagnol marcel,le temps des secrets,non_canon,male,1895,1974,littérature jeunesse,prive
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1834_Arlincourt-Charles-Victor_Le-brasseur-roi_tome-2,1834,arlincourt charles victor,le brasseur roi,non_canon,male,1788,1856,roman historique,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1923_Leblanc-Maurice_Dorothee-danseuse-de-corde,1923,leblanc maurice,dorothee danseuse de corde,non_canon,male,1864,1941,roman d'aventures,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1909_Zevaco-Michel_Le-Pont-des-soupirs,1909,zevaco michel,le pont des soupirs,non_canon,male,1860,1918,roman d'aventures,publique
0.0,0.0,0.08,0.02,0.0,0.0,0.0,1882_Verly-Hippolyte_Spada-la-Rapiere,1882,verly hippolyte,spada la rapiere,non_canon,male,1838,1916,roman historique,publique
0.0,0.0,0.01,0.01,0.0,0.0,0.0,1947_Vian-Boris_Les-morts-ont-tous-la-meme-peau,1947,vian boris,les morts ont tous la meme peau,canon,male,1920,1959,policier,prive
0.0,0.0,0.1,0.0,0.0,0.0,0.0,1875_Legouve-Ernest_Nos-filles-et-nos-fils-scenes-et-etudes-de-famille,1875,legouve ernest,nos filles et nos fils scenes et etudes de famille,non_canon,male,1807,1903,littérature jeunesse,publique
0.0,0.06,0.1,0.03,0.0,0.0,0.05,1903_Huysmans-Joris-Karl_L'Oblat,1903,huysmans joris karl,l'oblat,canon,male,1848,1907,cycles et séries,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1881_Erckmann-Chatrian_Les-Vieux-de-la-Vieille-Justine-et-Lucien.,1881,erckmann chatrian,les vieux de la vieille justine et lucien.,non_canon,male,1826,1890,littérature jeunesse,publique
0.0,0.0,0.02,0.0,0.0,0.0,0.0,1956_Delly_Hoelle-aux-yeux-pers,1956,delly,hoelle aux yeux pers,non_canon,female,1875,1947,roman d'aventures,publique
0.0,0.02,0.04,0.0,0.0,0.0,0.0,1876_Huysmans-Joris-Karl_Marthe-et-autres-nouvelles,1876,huysmans joris karl,marthe et autres nouvelles,canon,male,1848,1907,nouvelles,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1877_Zola-Emile_L-assommoir,1877,zola emile,l assommoir,canon,male,1840,1902,cycles et séries,publique
0.0,0.01,0.05,0.01,0.01,0.0,0.0,1882_Hervilly-Ernest-d-_Parisienneries,1882,hervilly ernest d ,parisienneries,non_canon,male,1839,1911,nouvelles,publique
0.0,0.01,0.04,0.0,0.0,0.0,0.01,1873_Pressense-Elise-de_Un-petit-monde-d-enfants,1873,pressense elise de,un petit monde d enfants,non_canon,female,1826,1901,littérature jeunesse,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1986_Kristof-Agota_Le-Grand-Cahier,1986,kristof agota,le grand cahier,non_canon,female,1935,2011,littérature jeunesse,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1873_Gaboriau-Emile_La-corde-au-cou,1873,gaboriau emile,la corde au cou,non_canon,male,1832,1873,policier,publique
0.0,0.0,0.02,0.0,0.0,0.0,0.0,1880_Debans-Camille_La-Peau-du-mort,1880,debans camille,la peau du mort,non_canon,male,1834,1910,roman d'aventures,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1862_Flaubert-Gustave_Salammbo,1862,flaubert gustave,salammbo,canon,male,1821,1880,roman historique,publique
0.0,0.04,0.05,0.0,0.0,0.0,0.03,1912_France-Anatole_Les-Dieux-ont-soif,1912,france anatole,les dieux ont soif,canon,male,1844,1924,roman historique,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2004_Grange-Jean-Christophe_La-Ligne-noire,2004,grange jean christophe,la ligne noire,non_canon,male,1961,2004,policier,prive
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1857_La-Rounat-Charles-de_La-Comedie-de-l-amour,1857,la rounat charles de,la comedie de l amour,non_canon,male,1818,1884,nouvelles,publique
0.0,0.03,0.08,0.0,0.0,0.0,0.04,1895_France-Anatole_Le-Puit-de-Sainte-Claire,1895,france anatole,le puit de sainte claire,canon,male,1844,1924,nouvelles,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002_Gaude-Laurent_La-Mort-du-roi-Tsongor,2002,gaude laurent,la mort du roi tsongor,non_canon,male,1972,20--,roman historique,prive
0.0,0.01,0.02,0.01,0.01,0.0,0.01,1840_Granier-de-Cassagnac-Adolphe_Danae,1840,granier de cassagnac adolphe,danae,non_canon,male,1806,1880,roman historique,publique
0.0,0.0,0.03,0.0,0.0,0.0,0.01,1934_Duhamel-Georges_Vue-de-la-terre-promise,1934,duhamel georges,vue de la terre promise,canon,male,1884,1966,cycles et séries,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1973_Vautrin-Jean_a-Bulletins-Rouges,1973,vautrin jean,a bulletins rouges,non_canon,male,1933,2015,policier,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.01,1868_Zaccone-Pierre_Le-Courrier-de-Lyon,1868,zaccone pierre,le courrier de lyon,non_canon,male,1818,1895,roman historique,publique
0.0,0.0,0.02,0.0,0.0,0.0,0.0,1843_Balzac-Honore-de_Histoire-des-Treize-et-La-Fille-aux-yeux-d’or,1843,balzac honore de,histoire des treize et la fille aux yeux d’or,canon,male,1799,1850,cycles et séries,publique
0.0,0.04,0.14,0.03,0.01,0.0,0.02,1847_Collin-de-Plancy-Jacques_Legende-du-Juif-Errant,1847,collin de plancy jacques,legende du juif errant,non_canon,male,1794,1881,roman historique,publique
0.0,0.01,0.02,0.01,0.01,0.0,0.0,2008_Grange-Jean-Christophe_Miserere,2008,grange jean christophe,miserere,non_canon,male,1961,20--,policier,prive
0.0,0.02,0.03,0.01,0.0,0.0,0.02,1980_Tournier-Michel_Gaspard-Melchior-Et-Balthazar,1980,tournier michel,gaspard melchior et balthazar,canon,male,1924,2016,roman historique,prive
0.0,0.0,0.01,0.0,0.0,0.0,0.02,1843_Sand-George_La-Comtesse-de-Rudolstadt,1843,sand george,la comtesse de rudolstadt,canon,female,1804,1876,roman d'aventures,publique
0.0,0.01,0.02,0.0,0.0,0.01,0.01,1867_Pressense-Elise-de_Deux-ans-au-lycee,1867,pressense elise de,deux ans au lycee,non_canon,female,1826,1901,littérature jeunesse,publique
0.0,0.02,0.06,0.03,0.0,0.0,0.01,1973_Barjavel-Rene_Le-Grand-Secret,1973,barjavel rene,le grand secret,non_canon,male,1911,1985,roman d'aventures,prive
0.0,0.01,0.08,0.0,0.0,0.0,0.01,1857_Soulie-Frederic_Le-Magnetiseur,1857,soulie frederic,le magnetiseur,non_canon,male,1800,1847,roman historique,publique
0.0,0.01,0.05,0.01,0.01,0.0,0.01,1863_Nyon-Eugene_La-Reine-de-Jerusalem,1863,nyon eugene,la reine de jerusalem,non_canon,male,1812,1870,roman historique,publique
0.0,0.0,0.02,0.01,0.01,0.0,0.0,1882_Sarcey-Francisque_Les-Miseres-d-un-fonctionnaire-chinois,1882,sarcey francisque,les miseres d un fonctionnaire chinois,non_canon,male,1827,1899,nouvelles,publique
0.0,0.01,0.01,0.0,0.0,0.0,0.0,1893_Malot-Hector_En-Famille,1893,malot hector,en famille,non_canon,male,1830,1907,littérature jeunesse,publique
0.0,0.0,0.03,0.01,0.0,0.0,0.01,1885_Bazin-Rene_Ma-tante-Giron,1885,bazin rene,ma tante giron,non_canon,male,1853,1932,littérature jeunesse,publique
0.0,0.0,0.01,0.01,0.01,0.0,0.0,1859_Ponson-du-Terrail-Pierre_Les-Exploits-de-Rocambole_Tome-II-La-Mort-du-sauvage,1859,ponson du terrail pierre,les exploits de rocambole,non_canon,male,1829,1871,roman d'aventures,publique
0.0,0.02,0.02,0.01,0.01,0.0,0.0,1894_Noussanne-Henri-de_Jasmin-Robba,1894,noussanne henri de,jasmin robba,non_canon,male,1865,1936,nouvelles,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1878_Malot-Hector_Sans-famille,1878,malot hector,sans famille,non_canon,male,1878,1878,roman d'aventures,publique
0.0,0.02,0.05,0.0,0.0,0.0,0.02,1863_Solms-Marie-de_Mademoiselle-Million,1863,solms marie de,mademoiselle million,non_canon,female,1831,1902,nouvelles,publique
0.0,0.0,0.03,0.0,0.0,0.0,0.0,1843_Balzac-Honore-de_Histoire-des-Treize,1843,balzac honore de,histoire des treize,canon,male,1799,1850,cycles et séries,publique
0.0,0.01,0.07,0.02,0.01,0.0,0.01,1878_Houssaye-Arsene_Les-Trois-duchesses_Tome-1,1878,houssaye arsene,les trois duchesses,non_canon,male,1814,1896,cycles et séries,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1872_Feval-Paul_Les-Compagnons-du-tresor-Les-Habits-Noirs_Tome-VII,1872,feval paul,les compagnons du tresor les habits noirs,non_canon,male,1816,1887,roman historique,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964_Simenon-Georges_La-patience-de-Maigret,1964,simenon georges,la patience de maigret,canon,male,1903,1989,policier,prive
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1821_Arlincourt-Charles-Victor_Le-Solitaire,1821,arlincourt charles victor,le solitaire,non_canon,male,1788,1856,roman historique,publique
0.0,0.04,0.12,0.0,0.0,0.0,0.02,1884_Badin-Adolphe_Couloirs-et-coulisses,1884,badin adolphe,couloirs et coulisses,non_canon,male,1884,1884,nouvelles,publique
0.0,0.02,0.03,0.0,0.0,0.0,0.0,1863_Feval-Paul_La-Fille-du-Juif-Errant,1863,feval paul,la fille du juif errant,non_canon,male,1816,1887,roman d'aventures,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.01,1953_Simenon-Georges_Maigret-a-peur,1953,simenon georges,maigret a peur,canon,male,1903,1989,policier,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1890_Pont-Jest-Rene-de_Le-Fleuve-des-perles,1890,pont jest rene de,le fleuve des perles,non_canon,male,1830,1904,policier,publique
0.0,0.01,0.01,0.0,0.0,0.0,0.0,1860_Vie-Anduze-Henri_Dernier-amour-de-Cinq-Mars-roman-historique,1860,vie anduze henri,dernier amour de cinq mars roman historique,non_canon,male,1???,1???,roman historique,prive
0.0,0.01,0.01,0.02,0.0,0.0,0.01,1896_Soboleska-Mme_Siribeddi-memoires-d-un-elephant,1896,soboleska mme,siribeddi memoires d un elephant,non_canon,female,1840,1907,littérature jeunesse,publique
0.0,0.0,0.0,0.01,0.0,0.0,0.0,1866_Ponson-du-Terrail-Pierre_La-Resurrection-de-Rocambole_Tome-III-Redemption-La-Vengeance-de-Vasilika,1866,ponson du terrail pierre,la resurrection de rocambole,non_canon,male,1865,1865,roman d'aventures,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1868_Ponson-du-Terrail-Pierre_Rocambole-Les-Miseres-de-Londre_Tome-III-La-Cage-aux-oiseaux,1868,ponson du terrail pierre,rocambole les miseres de londre,non_canon,male,1829,1871,roman d'aventures,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1955_Ikor-Roger_Les-eaux-melees,1955,ikor roger,les eaux melees,non_canon,male,1912,1986,roman historique,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1851_Sue-Eugene_Les-Mysteres-du-peuple_Tome-VI,1851,sue eugene,les mysteres du peuple,canon,male,1804,1857,roman historique,publique
