Olmo 7B Accuracy,Camembert Large[0] Accuracy,Camembert Large Accuracy,Flaubert Large Accuracy,Flaubert Large[0] Accuracy,Flaubert Base Accuracy,Mistral7B Accuracy,doc_name,date,auteur,titre,canon,gender,naissance,mort,genre,droit_auteur
0.01,0.0,0.0,0.0,0.0,0.0,0.02,1878_Lemay-Pamphile_Picounoc-le-maudit,1878,lemay pamphile,picounoc le maudit,non_canon,male,1838,1918,roman d'aventures,publique
0.01,0.01,0.02,0.0,0.0,0.0,0.02,1865_Dumas-Alexandre_Le-Comte-de-Moret,1865,dumas alexandre,le comte de moret,canon,male,1802,1870,roman historique,publique
0.01,0.02,0.05,0.02,0.01,0.0,0.01,1903_France-Anatole_Sur-la-pierre-blanche,1903,france anatole,sur la pierre blanche,canon,male,1844,1924,roman historique,publique
0.01,0.01,0.03,0.01,0.01,0.0,0.01,1888_Gouraud-Julie_Quand-je-serai-grande,1888,gouraud julie,quand je serai grande,non_canon,female,1810,1891,littérature jeunesse,publique
0.01,0.0,0.01,0.0,0.0,0.0,0.01,1916_Leroux-Gaston_Le-chateau-noir,1916,leroux gaston,le chateau noir,non_canon,male,1868,1927,policier,publique
0.01,0.0,0.01,0.01,0.0,0.0,0.0,1910_Zevaco-Michel_Triboulet,1910,zevaco michel,triboulet,non_canon,male,1860,1918,roman d'aventures,publique
0.01,0.0,0.09,0.0,0.0,0.0,0.0,1838_Dupin-Antoinette_Comment-tout-finit_Tome-1,1838,dupin antoinette,comment tout finit,non_canon,female,1801,1843,nouvelles,publique
0.01,0.0,0.01,0.0,0.0,0.0,0.01,1998_Dugain-Marc_La-chambre-des-officiers,1998,dugain marc,la chambre des officiers,non_canon,male,1957,unknown,roman historique,prive
0.01,0.0,0.03,0.0,0.0,0.0,0.01,1846_Balzac-Honore-de_Le-Cure-de-village,1846,balzac honore de,le cure de village,canon,male,1799,1850,cycles et séries,publique
0.01,0.0,0.0,0.0,0.0,0.0,0.01,1934_Vercel-Roger_Capitaine-Conan,1934,vercel roger,capitaine conan,non_canon,male,1894,1957,roman historique,prive
0.01,0.01,0.03,0.01,0.0,0.01,0.01,1882_Feval-Paul_Veillees-de-la-famille,1882,feval paul,veillees de la famille,non_canon,male,1816,1887,nouvelles,publique
0.01,0.01,0.04,0.02,0.0,0.0,0.0,1890_Richebourg-Emile_Les-Amours-de-Village,1890,richebourg emile,les amours de village,non_canon,male,1833,1898,nouvelles,publique
0.01,0.0,0.07,0.0,0.0,0.0,0.02,1845_Dumas-Alexandre_La-Reine-Margot,1845,dumas alexandre,la reine margot,canon,male,1802,1870,roman d'aventures,publique
0.01,0.01,0.02,0.0,0.0,0.0,0.0,1866_Muller-Rene_Les-Enfants-gates,1866,muller rene,les enfants gates,non_canon,male,18--,18--,littérature jeunesse,prive
0.01,0.0,0.06,0.0,0.0,0.0,0.01,1978_Tournier-Michel_Le-Coq-de-bruyere,1978,tournier michel,le coq de bruyere,canon,male,1924,2016,nouvelles,prive
0.01,0.0,0.02,0.01,0.0,0.0,0.01,1897_Ivoi-Paul-d-_Jean-Fanfare,1897,ivoi paul d ,jean fanfare,non_canon,male,1856,1915,roman d'aventures,publique
0.01,0.01,0.01,0.0,0.0,0.0,0.01,1858_Pressense-Elise-de_Rosa,1858,pressense elise de,rosa,non_canon,female,1826,1901,littérature jeunesse,publique
0.01,0.0,0.04,0.01,0.0,0.0,0.01,1885_Verne-Jules_Mathias-Sandorf,1885,verne jules,mathias sandorf,canon,male,1828,1905,roman d'aventures,publique
0.01,0.02,0.03,0.01,0.0,0.0,0.01,1844_Balzac-Honore-de_Le-Cabinet-des-Antiques,1844,balzac honore de,le cabinet des antiques,canon,male,1799,1850,cycles et séries,publique
0.01,0.01,0.02,0.0,0.0,0.0,0.04,1863_Segur-comtesse-de_Les-deux-nigauds,1863,segur comtesse de,les deux nigauds,non_canon,female,1799,1874,littérature jeunesse,publique
0.01,0.0,0.0,0.0,0.0,0.0,0.03,1879_Cadol-Edouard_La-Grande-Vie-La-Preferee,1879,cadol edouard,la grande vie la preferee,non_canon,male,1831,1898,nouvelles,publique
0.01,0.01,0.03,0.0,0.0,0.0,0.0,1870_Marmette-Joseph_Francois-De-Bienville--Scenes-de-la-Vie-Canadienne-au-XVII-siecle,1870,marmette joseph,francois de bienville  scenes de la vie canadienne au xvii siecle,non_canon,male,1844,1895,roman historique,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.01,1842_Balzac-Honore-de_La-Fausse-Maitresse,1842,balzac honore de,la fausse maitresse,canon,male,1799,1850,cycles et séries,publique
0.0,0.02,0.03,0.02,0.01,0.0,0.01,1845_Balzac-Honore-de_Les-Marana,1845,balzac honore de,les marana,canon,male,1799,1850,cycles et séries,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1954_Simon-Claude_Le-sacre-du-printemps,1954,simon claude,le sacre du printemps,canon,male,1913,2005,roman historique,prive
0.0,0.04,0.05,0.0,0.0,0.0,0.03,1872_Dumas-Alexandre_Le-docteur-mysterieux_II,1872,dumas alexandre,le docteur mysterieux,canon,male,1802,1870,roman d'aventures,publique
0.0,0.01,0.03,0.0,0.0,0.0,0.0,1880_Zola-Emile_Nana,1880,zola emile,nana,canon,male,1840,1902,cycles et séries,publique
0.0,0.0,0.03,0.0,0.0,0.0,0.01,1882_Lacroix-Auguste_La-Famille-Robert,1882,lacroix auguste,la famille robert,non_canon,male,18??,1???,roman historique,prive
0.0,0.0,0.02,0.0,0.0,0.0,0.0,1892_Le-Roux-Hugues_Les-Gens-d-aujourd-hui,1892,le roux hugues,les gens d aujourd hui,non_canon,male,1860,1925,nouvelles,publique
0.0,0.0,0.04,0.02,0.01,0.0,0.01,1869_Ponson-du-Terrail-Pierre_Le-Forgeron-de-la-Cour-Dieu_Tome-I,1869,ponson du terrail pierre,le forgeron de la cour dieu,non_canon,male,1829,1871,roman d'aventures,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001_Musso-Guillaume_Skidamarink,2001,musso guillaume,skidamarink,non_canon,male,1974,20--,policier,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1832_Corbiere-Edouard_Les-pilotes-de-l-Iroise,1832,corbiere edouard,les pilotes de l iroise,non_canon,male,1793,1875,roman d'aventures,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1972_Simenon-Georges_Maigret-et-Monsieur-Charles,1972,simenon georges,maigret et monsieur charles,canon,male,1903,1989,policier,prive
0.0,0.02,0.05,0.01,0.0,0.0,0.01,1902_Allais-Alphonse_Le-Captain-Cap,1902,allais alphonse,le captain cap,non_canon,male,1854,1906,roman d'aventures,publique
0.0,0.01,0.02,0.01,0.0,0.01,0.0,1882_Verne-Jules_L-Ecole-des-Robinsons,1882,verne jules,l ecole des robinsons,canon,male,1828,1905,roman d'aventures,publique
0.0,0.01,0.03,0.0,0.0,0.0,0.0,1857_Ponson-du-Terrail-Pierre_L-Heritage-Mysterieux,1857,ponson du terrail pierre,l heritage mysterieux,non_canon,male,1829,1871,roman d'aventures,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.01,1888_Blandy-Stella_L-Oncle-Philibert,1888,blandy stella,l oncle philibert,non_canon,female,1836,1925,littérature jeunesse,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.01,1896_Schwob-Marcel_Vies-imaginaires,1896,schwob marcel,vies imaginaires,canon,male,1867,1905,nouvelles,publique
0.0,0.03,0.04,0.01,0.0,0.0,0.01,1845_Balzac-Honore-de_Un-debut-dans-la-vie,1845,balzac honore de,un debut dans la vie,canon,male,1799,1850,cycles et séries,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1933_Simenon-Georges_L-Ecluse-n°1,1933,simenon georges,l ecluse n°1,canon,male,1903,1989,policier,prive
0.0,0.0,0.05,0.0,0.0,0.0,0.02,2015_Despentes-Virginie_Vernon-Subutex_T1,2015,despentes virginie,vernon subutex,canon,female,1969,20--,cycles et séries,prive
0.0,0.03,0.07,0.04,0.02,0.0,0.07,1905_Le-Rouge-Gustave_L-Espionne-du-grand-Lama,1905,le rouge gustave,l espionne du grand lama,non_canon,male,1867,1938,roman d'aventures,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1884_Chavette-Eugene_Le-saucisson-a-pattes_I-Fil-a-beurre,1884,chavette eugene,le saucisson a pattes,non_canon,male,1827,1902,roman historique,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1872_Gouraud-Julie_Le-Livre-de-maman,1872,gouraud julie,le livre de maman,non_canon,female,1810,1891,littérature jeunesse,publique
0.0,0.0,0.01,0.0,0.0,0.0,0.0,1987_Villard-Marc_Rebelles-de-la-nuit,1987,villard marc,rebelles de la nuit,non_canon,male,1947,20--,policier,prive
0.0,0.0,0.01,0.01,0.0,0.0,0.0,1906_Le-Rouge-Gustave_La-Reine-des-elephants,1906,le rouge gustave,la reine des elephants,non_canon,male,1867,1938,roman d'aventures,publique
0.0,0.0,0.02,0.0,0.0,0.0,0.0,1842_Balzac-Honore-de_Albert-Savarus,1842,balzac honore de,albert savarus,canon,male,1799,1850,cycles et séries,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1904_Le-Rouge-Gustave_L-Esclave-amoureuse,1904,le rouge gustave,l esclave amoureuse,non_canon,male,1867,1938,roman d'aventures,publique
0.0,0.0,0.0,0.01,0.0,0.0,0.0,1877_Gayet-de-Cesena-Amedee_Le-Chapelet-d-amour,1877,gayet de cesena amedee,le chapelet d amour,non_canon,male,1810,1889,roman d'aventures,publique
0.0,0.0,0.01,0.02,0.01,0.0,0.01,1958_Very-Pierre_Les-disparus-de-Saint-Agil,1958,very pierre,les disparus de saint agil,canon,male,1900,1960,littérature jeunesse,prive
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993_Villard-Marc_La-porte-de-derriere,1993,villard marc,la porte de derriere,non_canon,male,1947,20--,policier,prive
0.0,0.03,0.04,0.03,0.0,0.0,0.0,1968_Modiano-Patrick_La-Place-de-l-etoile,1968,modiano patrick,la place de l etoile,canon,male,1945,20--,roman historique,prive
0.0,0.0,0.0,0.01,0.0,0.0,0.0,1871_Gaboriau-Emile_La-Degringolade_Tome-1,1871,gaboriau emile,la degringolade,non_canon,male,1832,1873,policier,publique
0.0,0.01,0.01,0.01,0.01,0.0,0.01,1965_De-Villiers-Gerard_SAS-a-Istanbul,1965,de villiers gerard,sas a istanbul,non_canon,male,1929,2013,policier,prive
0.0,0.0,0.01,0.0,0.0,0.0,0.02,1885_Greville-Henry_Idylles,1885,greville henry,idylles,non_canon,female,1842,1902,nouvelles,publique
0.0,0.0,0.02,0.0,0.0,0.0,0.0,1972_Aragon-Louis_Aurelien,1972,aragon louis,aurelien,canon,male,1897,1982,cycles et séries,prive
0.0,0.01,0.01,0.01,0.0,0.0,0.01,1884_Normand-Jacques_Le-Monde-ou-nous-sommes,1884,normand jacques,le monde ou nous sommes,non_canon,male,1848,1931,nouvelles,publique
0.0,0.0,0.0,0.01,0.01,0.0,0.01,1874_Zola-Emile_La-conquete-de-Plassans,1874,zola emile,la conquete de plassans,canon,male,1840,1902,cycles et séries,publique
0.0,0.01,0.05,0.03,0.0,0.0,0.0,1858_Achard-Amedee_Madame-Rose,1858,achard amedee,madame rose,non_canon,male,1814,1875,nouvelles,publique
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1950_Delly_Les-seigneurs-loups,1950,delly,les seigneurs loups,non_canon,female,1875,1947,roman historique,publique
0.0,0.01,0.02,0.0,0.0,0.0,0.0,1850_Dumas-Alexandre_Le-Trou-de-l-Enfer,1850,dumas alexandre,le trou de l enfer,canon,male,1802,1870,roman d'aventures,publique
0.0,0.03,0.08,0.01,0.01,0.0,0.0,1846_Balzac-Honore-de_Le-Medecin-de-campagne,1846,balzac honore de,le medecin de campagne,canon,male,1799,1850,cycles et séries,publique
0.0,0.01,0.01,0.0,0.0,0.0,0.0,1870_Ponson-du-Terrail-Pierre_Rocambole-La-Corde-du-pendu_Tome-II--L-Homme-gris,1870,ponson du terrail pierre,rocambole la corde du pendu,non_canon,male,1829,1871,roman d'aventures,publique
0.0,0.0,0.03,0.0,0.0,0.0,0.0,1860_Sauquet-Aricie-Courbatere-Mme_Les-Veillees-du-pensionnat,1860,sauquet aricie courbatere mme,les veillees du pensionnat,non_canon,female,1???,1???,littérature jeunesse,prive
